番号	単語	漢字	意味	1st
1	これ	*	这	こ
2	それ	*	那（事物近对方）	そ
3	あれ	*	那（事物在远方）	あ
4	この	*	这～	こ
5	その	*	那～（近对方）	そ
6	あの	*	那～（远方）	あ
7	ほん	本	书本，书籍	ほ
8	じしょ	辞書	辞典	し
9	ざっし	雑誌	杂志	さ
10	しんぶん	新聞	报纸	し
11	ノート	*	笔记本	の
12	てちょう	手帳	记事本	て
13	めいし	名刺	名片	あ
14	カード	*	卡片	か
15	テレホンカード	*	电话卡	て
16	えんぴつ	鉛筆	铅笔	え
17	ボールペン	*	原子笔	ほ
18	シャープペンシル	*	自动铅笔	し
19	かぎ	*	钥匙	か
20	とけい	時計	钟表	と
21	かさ	傘	伞	か
22	かばん	*	书包，手提包，皮包	か
23	カセットテープ	*	录音带	か
24	テープレコーダー	*	录音机	て
25	テレビ	*	电视	て
26	ラジオ	*	收音机	ら
27	カメラ	*	照相机	か
28	コンピューター	*	电脑	こ
29	じどうしゃ	自動車	汽车	し
30	つくえ	机	桌子	つ
31	いす	*	椅子	い
32	チョコレート	*	巧克力	ち
33	コーヒー	*	咖啡	こ
34	えいご	英語	英语	え
35	にほんご	日本語	日语	に
36	xxご	xx語	xx语	こ
37	なん	何	什么	な
38	そう	*	是的	そ
